ID,code,author,title,subject,publisher,publication Date,format,notes,loaned to,date from,date to
3743,746.7,"droop,joan",rugmaking,art/textiles,bell,1971,h/b+wrapper+plastic wrap,,,,
3744,748,"kinney,kay",glass craft,art/glass,pitman,1962,h/b+wrapper+plastic wrap,,,,
3747,749,anon,twentieth century furniture,art/furniture,grange,1999,h/b+wrapper,,,,
3750,746.92,"arch,nigel/marschner,joanna",the royal wedding dresses,art/fashion,sidgwick & jackson,1990,h/b,,,,
3752,746.92,anon,fragrance and fashion,art/fashion,silverdale,2000,h/b+plastic wrap,,,,
3753,746.92,"rowlande-warne,l",costume,art/fashion,dk,1993,h/b+wrapper,,,,
3754,746.92,"lehnert,gertrud",a history of fashion in the 20th century,art/fashion,konemann,2000,p/b,,,,
3755,YA,"pullman,philip",the subtle knife,Fiction,scolastic,1998,p/b,2nd part of northern lights,,,
3756,796.334,"best,george",blessed,sport/football,index,2001,h/b+wrapper,written with roy collins,,,
3757,796.358,"flintoff,andrew",being freddie,sport/cricket,hodder & stoughton,2005,h/b+wrapper,,,,
3758,985,"howard,cecil",pizarro and the conquest of peru,history/peru,cassell,1970,h/b,,,,
3761,751,"reynolds,graham",watercolours,Art,thames and hudson,1988,p/b,,,,
3763,751,"cole,alison",colour,Art,dk,1995,h/b+wrapper,,,,
3764,759,"levey,michael",from giotto to cezanne,art/painting,thames and hudson,1989,p/b,549 colour plates,,,
3765,759.05,"harris,nathaniel",a treasury of impressionism,art/painting/impressionism,optimum,1979,h/b+wrapper+ plastic wrap,,,,
3767,759.05,"muller,joseph-emile",impressionism,art/painting/impressionism,amiel,0,h/b+wrapper,90 colour plates,,,
3768,759.05,"denvir,bernard (editor)",the impressionists at first hand,art/painting/impressionism,thames and hudson,1987,p/b,,,,
3769,759.1hop,"renner,rolf.g.",hopper,art/american painting,taschen,2000,p/b,,,,
3770,759.1war,"copplestone,trewin",the life and works of andy warhol,art/american painting,siena,1995,h/b+wrapper,,,,
3774,759.2bac,"russell,john",francis bacon,art/english painting,thames and hudson,1993,p/b,172 illus 44 in colour,,,
3775,759.2bla,"keale,arnold",william blake 1757 - 1827,art/english painting/literature,open university,1973,p/b,,,,
3776,759.2bla,"bronowski,j",william blake,art/english painting/literature,penguin,1954,p/b,,,,
3777,759.2but,"usherwood,paul/spencer-smith, jenny",lady butler battle artist 1846 - 1933,art/english painting/military,alan sutton/nat: army museum,1987,p/b,,,,
3778,759.2hoc,"livingstone,marco",david hockney,art/english painting,"holt, rinehart and winston",0,,185 illus 36 in colour,,,
3780,371.3,"wallace,michael.j.",study skills in english,education/study,cambridge,2006,p/b,second edition,,,
3781,759.2mil,"millais,geoffroy",sir john everett millais,art/english painting/pre-raphaelites,academy,1979,p/b,,,,
3784,759.2tur,"bockemuhl,michael",j.m.w.turner,art/english painting,taschen,2000,p/b,,,,
3786,759.4,"cassou,jean/sabartes,jaime/de laprade,jaques/fumet,stanislas",four french moderns,art/french painting,braun & cie,0,h/b,96 full colour 44 mono,,,
3787,759.4cez,"gasquet,joachim",joachim gasquet's cezanne,art/french painting,thames & hudson,1991,h/b+wrapper,b+w photographs,,,
3789,759.4deg,"bouret,jean",degas,art/french painting,thames & hudson,1965,p/b,,,,
3790,759.4duc,"mink,janis",duchamp,art/french painting,taschen,1995,p/b,,,,
3791,759.4gau,"marchiori,guiseppe",gauguin,art/french painting,thames & hudson,1977,p/b,dolphin series,,,
3792,759.4kle,"weitemeier,hannah",klein,art/french painting,taschen,1995,p/b,,,,
3794,759.4ren,"fezzi,elda",renoir,art/french painting,thames & hudson,1968,p/b,dolphin series,,,
3795,759.3kle,"klee,paul",on modern art,art/german painting,faber,1979,p/b,,,,
3796,759.3hea,"pachnicke,peter/honnef,klaus (editors)",john heartfield,art/german painting,harry n. abrahams,1991,h/b+wrapper,,,,
3798,759.5mic,"schott,rolf",michelangelo,art/italian painting,thames & hudson,1975,p/b,,,,
3799,759.5mic,"harris,nathaniel",the life and works of michelangelo,art/italian painting,parragon,1995,h/b+wrapper,a compilation of work from the bridgeman art gallery,,,
3802,781.65dyl,"dylan,bob",chronicles,music,pocket,2004,p/b,,,,
3803,822.33,"smith,emma",york notes advanced - twelfth night,literature/english/drama/elizabethan/shakespeare,longman,2000,p/b,9780582431508,,,
3804,823.8,"sayer,karen",jane eyre - york notes advanced,literature/prose/bronte,longman,2004,p/b,,,,
3805,ms786.2,anon,101 beatles songs for buskers,music/songbooks/the beatles,wise,1983,binder,,,,
3806,133.3,"wing,r.l.",the illustrated i ching,divination/taoism,aquarian,1987,p/b,,,,
3807,821.914,"raworth,tom",tom raworth,literature/english/poetry/late 20th century,library,2007,pamphlet,,,,
3808,"821,914","fisher,roy",roy fisher,literature/english/poetry/late 20th century,library,2007,pamphlet,,,,
3809,320.2,"bevan,aneurin",weapons for squalid and trivial ends,politics,the guardian,2007,pamphlet,great speeches of the 20th century no:13,,,
3810,320.2,"thatcher,margaret",the lady's not for turning,politics,the guardian,2007,pamphlet,great speeches of the 20th century no: 10,,,
3811,320.2,"king,martin luther",i have a dream,politics,the guardian,2007,pamphlet,great speeches of the 20th century no:14,,,
3812,320.2,"kennedy,john.f.",ask not what your country can do for you,politics,the guardian,2007,pamphlet,great speeches of the 20th century no:2,,,
3813,320.2,"churchill,winston",we shall fight them on the beaches,politics,the guardian,2007,pamphlet,great speeches of the 20th century no:1,,,
3814,320.2,"spencer,earl",the most hunted person of the modern age,politics,the guardian,2007,pamphlet,great speeches of the 20th century no:14,,,
3815,320.2,"khrushchev,nikita",the cult of the individual,politics,the guardian,2007,pamphlet,great speeches of the 20th century no:6,,,
3816,320.2,"kennedy,john.f.",the wind of change,politics,the guardian,2007,pamphlet,great speeches of the 20th century no:4,,,
3817,811.54,"creeley,robert",creeley,literature/american/poetry/late 20th century,lib,2007,pamphlet,,,,
3818,811cla,"clark,tom",tom clark,literature/american poetry,lib,2007,pamphlet,,,,
3819,782.103,"forman,dennis",the good opera guide,muisc/opera,weidenfeld & nicholson,1994,h/b+wrapper,first edition,,,
3820,781.65cob,"thompson,dave",never fade away: the kurt cobain story,music/biography,pan,1994,p/b,,,,
3822,YA,"carroll,lewis",alice in wonderland,Fiction,armada,1990,p/b,,,,
3823,955,"frye,richard.n.",the golden age of persia,history/persia,phoenix,2003,p/b,,,,
3824,909.0976,"schulze,reinhard",a modern history of the islamic world,history/middle east/islam,i.b.taurus,2000,p/b,,,,
3825,523,"burnham,robert/dyer,alan/kanipe,jeff",astronomy,astronomy,fog city press,2005,p/b,,,,
3828,833hes,"hesse,herman",siddhartha,german literature/prose,picador,1998,p/b,,,,
3831,936.1,"barton,nick",ice age britain,history/paleontology,batsford,2005,p/b,,,,
3832,428,"taylor,john.g.",the handbook of written english,english language/writing,howtobooks,2005,p/b,2nd edition,,,
3833,914.21,"robins,nicholas",walking shakespeare's london,travel/london/shakespeare,new holland,2004,p/b,,,,
3834,914.21,"best,nicholas",london in the footsteps of the famous,travel/london,bradt,2002,p/b,,,,
3835,796.358,england cricket team,ashes victory,sport,orion,2005,h/b+wrapper,,,,
3836,910,"apt,jay/helfert,michael/wilkinson,justin",orbit,travel/earth/photography,national geographic,1996,p/b,,,,
3837,gcse540.7,anon,gcse chemistry,chemistry,cgp,2003,p/b,,,,
3838,914.56,anon,eyewitness travel rome,travel/italy/rome,dk,2007,p/b,,,,
3839,914.99,"dubin,marc",eyewitness travel the greek islands,travel/greece/the greek islands/aegean,dk,2007,p/b,,,,
3840,917.3,anon,eyewitness travel guides u.s.a.,travel/u.s.a.,d/k,2006,p/b,,,,
3841,914.21,"leapman,michael",eyewitness travel london,travel/u.k/london,dk,2007,p/b,,,,
3842,914.6,anon,eyewitness travel spain,travel/spain,dk,2007,p/b,,,,
3843,914.4,anon,eyewitness travel france,travel/france,dk,2007,p/b,,,,
3844,949.71,"seierstad,asne",with their backs to the world,travel/serbia/modern history/,virago,2005,p/b,,,,
3845,958.1,"seierstad,asne",the bookseller of kabul,travel/afghanistan/modern history,virago,2007,p/b,,,,
3846,956.7,"seierstad,asne",a hundred and one days,travel/iraq/modern history,virago,2005,p/b,,,,
3849,574,"indge,bill/rowland,martin/baker,margaret",a new introduction to biology,biology,hoder murray,2005,p/b,,,,
3850,574.07,"burch,simon/read,graham/skwierczynski,ray",revise AS biology  part A,biology,heinemann,2002,p/b,,,,
3851,574.07,"read,graham/skwierczynski,ray",revise AS biology part B,biology,heinemann,2001,p/b,,,,
3852,574,"indge,bill",complete a-z biology handbook,biology,hodder & stoughton,2003,p/b,,,,
3853,574.07,"potter,steve",instant AS biology,biology,collins\,2004,p/b,,,,
3857,808.04,"oshima,alice/hogue,ann",writing academic english,language,longman,1999,p/b,,,,
3858,808.04,"zemach,dorothy.e./rumisek,lisa.a",academic writing from paragraph to essay,language,macmillan,2005,p/b,,,,
3859,973.03,"rosenbaum,robert a.",the penguin encyclopedia of american history,history/u.s.a.,penguin,2003,p/b,,,,
3860,973.8,"brinkley,alan",the unfinished nation,history/u.s.a.,mcgraw gill,2004,p/b,fourth edition,,,
3861,530.3,anon,oxford dictionary of physics,physics/dictionaries,oxford,2005,p/b,fifth edition,,,
3864,537.5,"kennedy,stuart",telecommunications,physics/electronics,cambridge,2004,p/b,,,,
3866,540.7,"ellison,anthony",instant revision AS chemistry,chemistry,collins,2004,p/b,,,,
3867,914.21,"roberts,chris",cross river traffic,travel/london/history/design,grants,2005,h/b+wrapper,,,,
